"tema_id","tema_id_super","tema"
1,1,"Forskning"
2,1,"Teologi"
3,1,"Jus"
4,1,"Medisin"
5,1,"Historie"
6,1,"Språk"
7,1,"Filosofiske fag"
8,1,"Matematiske fag"
9,1,"Naturvitenskapelige fag"
10,1,"Informatikk"
11,1,"Odontologi"
12,1,"Samfunnsfag"
13,1,"Utdanningsvitenskap"
14,1,"Forskning og kjønn"
94,94,"zz ikke i bruk"
15,1,"Forskningssentrene"
16,1,"Internasjonalt samarbeid"
17,1,"Samarbeid med samfunn-/næringsliv"
18,18,"Undervisning"
19,18,"På lesesalen"
20,18,"Forelesninger"
21,18,"Gruppearbeid"
22,18,"Foran datamaskinen"
23,18,"Studentvelferd"
24,18,"Studentsermonier"
25,18,"Undervisning og kjønn"
26,18,"Fusk"
27,18,"Fjernundervisning"
28,18,"Etterutdanning"
29,18,"Sommerskole"
30,18,"Internasjonalt samarbeid"
31,18,"Samarbeid med samfunns-/næringsliv"
32,18,"Sommerskolen"
33,33,"Apollon"
34,33,"Arrangementer"
35,33,"Personer som formidler"
36,33,"Museene"
37,37,"Bibliotekdrift"
38,37,"Bibliotekinteriør"
39,37,"Bibliotekarer i arbeid"
40,40,"Markedsføring"
41,40,"Messer"
42,40,"Arrangementer"
43,43,"Velferd"
44,43,"Idrett"
45,43,"Helse"
46,43,"Fester"
47,43,"Kulturtiltak"
48,43,"Religionsutøvelse"
49,43,"Matservering"
50,43,"Barnehager"
51,43,"Studentboliger"
52,43,"Karrieresenteret"
53,43,"Fadderordningen"
54,43,"Akademika"
55,55,"Sermonier"
62,62,"Personaladministrasjon"
63,62,"Lønn"
64,62,"Fagforeningsvirksomhet"
65,62,"Ledelse"
66,66,"Teknisk/Drift"
67,66,"Vedlikehold"
68,66,"Drift"
69,66,"Brannsikkerhet"
70,66,"Kunst"
71,66,"Teknologi"
72,72,"Datateknologi"
73,72,"Pc i bruk"
74,72,"Annen datateknologi"
75,75,"Diverse"
76,75,"Demonstrasjoner"
77,75,"Sosiale problemer"
78,75,"Studenter"
79,75,"Forskere"
80,75,"Folkemengder"
81,75,"Dyr"
82,75,"Barn"
83,75,"Universitet og samfunn"
84,75,"Statistikk"
95,95,"rtyrytry"
98,98,"rtrytrmyrmr"
101,18,"Laboratorieundervisning"
103,75,"Andre verdenskrig"
104,18,"Ekskursjoner"
105,18,"Kurs"
106,18,"Feltarbeid"
109,1,"Laboratorieforskning"
110,1,"Mikroskopering"
111,43,"Turer"
56,55,"Doktorpromosjoner"
57,55,"Årsfester"
58,55,"Mottakelse av studenter"
59,55,"Æresdoktorkreering"
60,55,"Prisutdeling"
61,55,"Rektorinnsettelse"
