file_name,filmnr_negativnr,filnavn_a,filnavn_b
USD_UNIHIST_BREV_361205.tif,AAngstrom160753s1.tif,AAngstrom160753s1.tif,
USD_UNIHIST_BREV_361227.tif,AAngstrom160753s2.tif,AAngstrom160753s2.tif,
USD_UNIHIST_BREV_361249.tif,AAngstrom160753s3.tif,AAngstrom160753s3.tif,
USD_UNIHIST_BREV_361277.tif,AAngstrom160753s4.tif,AAngstrom160753s4.tif,
USD_UNIHIST_BREV_403439.tif,AAstrand010159f.tif,AAstrand010159f.tif,
USD_UNIHIST_BREV_403454.tif,AAstrand010159s1.tif,AAstrand010159s1.tif,
USD_UNIHIST_BREV_403428.tif,AAstrand010159s2.tif,AAstrand010159s2.tif,
USD_UNIHIST_BREV_124331.tif,AAstrand010164s1.tif,AAstrand010164s1.tif,
USD_UNIHIST_BREV_124335.tif,AAstrand010164s2.tif,AAstrand010164s2.tif,
USD_UNIHIST_BREV_124327.tif,AAstrand010164s3.tif,AAstrand010164s3.tif,
USD_UNIHIST_BREV_124344.tif,AAstrand010164v1s1.tif,AAstrand010164v1s1.tif,
USD_UNIHIST_BREV_124348.tif,AAstrand010164v1s2.tif,AAstrand010164v1s2.tif,
USD_UNIHIST_BREV_124352.tif,AAstrand010164v1s3.tif,AAstrand010164v1s3.tif,
USD_UNIHIST_BREV_124340.tif,AAstrand010164v1s4.tif,AAstrand010164v1s4.tif,
USD_UNIHIST_BREV_403683.tif,AAstrand010960f.tif,AAstrand010960f.tif,
USD_UNIHIST_BREV_403696.tif,AAstrand010960s1.tif,AAstrand010960s1.tif,
USD_UNIHIST_BREV_403959.tif,AAstrand010960v1s1.tif,AAstrand010960v1s1.tif,
USD_UNIHIST_BREV_403975.tif,AAstrand010960v1s2.tif,AAstrand010960v1s2.tif,
USD_UNIHIST_BREV_403988.tif,AAstrand010960v1s3.tif,AAstrand010960v1s3.tif,
USD_UNIHIST_BREV_403995.tif,AAstrand010960v1s4.tif,AAstrand010960v1s4.tif,
USD_UNIHIST_BREV_403999.tif,AAstrand010960v1s5.tif,AAstrand010960v1s5.tif,
