"foto_kort_id","tittel","siste_klassifikasjon","registrert","registrert_av","registrert_dato","opprettet_av","opprettet_dato","samlings_id","mediagruppe_enhets_id","samling","tilvekstnr","annen_arkivident","filnavn"
5,,5,,0,"2004-05-19",0,"2004-05-19",,1876092,"UIO FUH","Balfur290663","Balfur290663s1.tif","Balfur290663s1.tif"
6,,6,,0,"2004-05-19",0,"2004-05-19",,1876119,"UIO FUH","Boeck051225","Boeck051225s3.tif","Boeck051225s3.tif"
8,,8,,0,"2004-05-19",0,"2004-05-19",,1876159,"UIO FUH","Boeck120443","Boeck120443s1.tif","Boeck120443s1.tif"
9,,9,,0,"2004-05-19",0,"2004-05-19",,1876167,"UIO FUH","Boeck120726","Boeck120726s4.tif","Boeck120726s4.tif"
10,,10,,0,"2004-05-19",0,"2004-05-19",,1876199,"UIO FUH","Boeck150443","Boeck150443s1.tif","Boeck150443s1.tif"
11,,11,,0,"2004-05-19",0,"2004-05-19",,1876207,"UIO FUH","Boeck200326","Boeck200326s8.tif","Boeck200326s8.tif"
12,,12,,0,"2004-05-19",0,"2004-05-19",,1876271,"UIO FUH","Boeck201225","Boeck201225s1.tif","Boeck201225s1.tif"
13,,13,,0,"2004-05-19",0,"2004-05-19",,1876287,"UIO FUH","Boeck240426","Boeck240426s3.tif","Boeck240426s3.tif"
14,,14,,0,"2004-05-19",0,"2004-05-19",,1876319,"UIO FUH","Boeck290462","Boeck290462s1.tif","Boeck290462s1.tif"
15,,15,,0,"2004-05-19",0,"2004-05-19",,1876327,"UIO FUH","Boeck300126","Boeck300126s2.tif","Boeck300126s2.tif"
16,,16,,0,"2004-05-19",0,"2004-05-19",,1876343,"UIO FUH","BoeckUdatert1","BoeckUdatert1s1.tif","BoeckUdatert1s1.tif"
17,,17,,0,"2004-05-19",0,"2004-05-19",,1876351,"UIO FUH","BoeckUdatert2","BoeckUdatert2s2.tif","BoeckUdatert2s2.tif"
19,,19,,0,"2004-05-24",0,"2004-05-24",,1890731,"UIO FUH","Bond130651","Bond130651s4.tif","Bond130651s4.tif"
20,,20,,0,"2004-05-24",0,"2004-05-24",,1891931,"UIO FUH","Bond141162","Bond141162s2.tif","Bond141162s2.tif"
21,,21,"1",0,"2004-05-24",0,"2004-05-24",,1892815,"UIO FUH","Bugge280992","BuggeTilxx28091792s4.tif","BuggeTilxx28091792s4.tif"
22,,22,,0,"2004-05-24",0,"2004-05-24",,1893655,"UIO FUH","Busch210851","Busch210851s3.tif","Busch210851s3.tif"
23,,23,,0,"2004-05-24",0,"2004-05-24",,1894711,"UIO FUH","Buys-Ballot0509","Buys-Ballot050966s3.tif","Buys-Ballot050966s3.tif"
24,,24,,0,"2004-05-24",0,"2004-05-24",,1895400,"UIO FUH","Buys-Ballot1607","Buys-Ballot160763s2.tif","Buys-Ballot160763s2.tif"
25,,25,,0,"2004-05-24",0,"2004-05-24",,1896367,"UIO FUH","Buys-Ballot2102","Buys-Ballot210264s4.tif","Buys-Ballot210264s4.tif"
27,,27,,0,"2004-05-24",0,"2004-05-24",,1897166,"UIO FUH","Buys-BallotU1","Buys-BallotUdatert1s3.tif","Buys-BallotUdatert1s3.tif"
