"klassifikasjons_id","person_id","personrolle_id","dato","periode","kommentar"
5,3,75,,,
5,4,74,,,
6,3,75,,,
6,6,74,,,
8,3,75,,,
8,6,74,,,
7,3,75,,,
7,6,74,,,
9,6,74,,,
9,3,75,,,
10,6,74,,,
10,3,75,,,
11,6,74,,,
11,3,75,,,
12,3,75,,,
12,6,74,,,
13,3,75,,,
13,6,74,,,
14,3,75,,,
14,6,74,,,
15,6,74,,,
15,3,75,,,
16,3,75,,,
16,6,74,,,
17,6,74,,,
17,3,75,,,
19,3,75,,,
19,7,74,,,
20,3,75,,,
20,7,74,,,
146,27,74,,,
21,9,74,,,
22,3,75,,,
22,10,74,,,
23,3,75,,,
23,11,74,,,
24,3,75,,,
24,11,74,,,
25,3,75,,,
25,11,74,,,
27,11,74,,,
27,3,75,,,
30,3,75,,,
30,14,74,,,
28,3,75,,,
28,11,74,,,
29,3,75,,,
29,11,74,,,
31,11,74,,,
31,3,75,,,
32,3,75,,,
32,11,74,,,
33,11,74,,,
33,3,75,,,
34,3,75,,,
34,11,74,,,
35,11,74,,,
35,3,75,,,
36,3,75,,,
36,11,74,,,
37,11,74,,,
37,3,75,,,
38,3,75,,,
38,15,74,,,
39,3,75,,,
39,15,74,,,
40,3,75,,,
40,16,74,,,
41,3,75,,,
41,17,74,,,
42,3,75,,,
42,18,74,,,
43,19,74,,,
44,3,75,,,
44,19,74,,,
45,19,74,,,
45,3,75,,,
46,3,75,,,
46,19,74,,,
47,19,74,,,
47,3,75,,,
48,3,75,,,
48,19,74,,,
49,19,74,,,
49,3,75,,,
51,3,75,,,
51,19,74,,,
52,19,74,,,
52,3,75,,,
53,3,75,,,
53,19,74,,,
54,19,74,,,
54,3,75,,,
55,3,75,,,
55,19,74,,,
56,19,74,,,
56,3,75,,,
57,3,75,,,
57,19,74,,,
58,19,74,,,
58,3,75,,,
59,3,75,,,
59,19,74,,,
60,19,74,,,
60,3,75,,,
61,3,75,,,
61,19,74,,,
62,19,74,,,
62,3,75,,,
63,3,75,,,
63,19,74,,,
64,19,74,,,
64,3,75,,,
65,3,75,,,
65,19,74,,,
66,19,74,,,
66,3,75,,,
67,3,75,,,
67,19,74,,,
68,19,74,,,
68,3,75,,,
69,3,75,,,
69,19,74,,,
70,3,75,,,
71,3,75,,,
71,20,74,,,
72,3,75,,,
72,20,74,,,
73,20,74,,,
73,3,75,,,
74,3,75,,,
74,20,74,,,
75,20,74,,,
75,3,75,,,
76,3,75,,,
76,20,74,,,
77,20,74,,,
77,3,75,,,
78,3,75,,,
78,20,74,,,
79,20,74,,,
79,3,75,,,
80,3,75,,,
80,20,74,,,
81,3,75,,,
81,21,74,,,
82,3,75,,,
82,21,74,,,
83,21,74,,,
83,3,75,,,
84,21,75,,,
85,3,75,,,
85,22,74,,,
86,3,75,,,
86,22,74,,,
